"","repo","user","nationality","coordinates","x","y"
417,"OSGeo/gdal","avalentino","Matera (MT), Italy","(40.666379, 16.6043199)",16.6043199,40.666379
418,"OSGeo/gdal","cfis","Denver","(39.7392358, -104.990251)",-104.990251,39.7392358
419,"OSGeo/gdal","blazek","Prague","(50.0755381, 14.4378005)",14.4378005,50.0755381
420,"OSGeo/gdal","mloskot","Wrocław, PL | London, UK","(51.1041654, 16.8809331)",16.8809331,51.1041654
426,"OSGeo/geos","robe2","Boston","(42.3600825, -71.0588801)",-71.0588801,42.3600825
428,"OSGeo/geos","grizonnetm","Toulouse","(43.604652, 1.444209)",1.444209,43.604652
429,"OSGeo/geos","dbaston","Vermont","(44.5588028, -72.5778415)",-72.57784149999999,44.5588028
437,"OSGeo/proj.4","ndavid","Saint-Mandé","(48.842832, 2.4178639)",2.4178639,48.84283199999999
440,"OSGeo/proj.4","busstoptaktik","Copenhagen, Denmark (55N 12E)","(43.8919399, -75.6716827)",-75.67168269999999,43.8919399
441,"OSGeo/proj.4","mraspaud","Norrköping, Sweden","(58.587745, 16.192421)",16.192421,58.587745
442,"OSGeo/proj.4","beuan","Redlands, California","(34.0555693, -117.1825381)",-117.1825381,34.0555693
443,"OSGeo/proj.4","kbevers","Copenhagen, Denmark","(55.6760968, 12.5683372)",12.5683372,55.6760968
446,"OSGeo/proj.4","zsiki","Budapest, Hungary","(47.497912, 19.040235)",19.040235,47.497912
449,"OSGeo/proj.4","tfili","Exton, PA","(40.0325817, -75.6274583)",-75.6274583,40.0325817
451,"OSGeo/proj.4","ioshchepkov","Moscow","(55.755826, 37.6172999)",37.6172999,55.755826
453,"OSGeo/proj.4","moovida","Bolzano","(46.4982953, 11.3547582)",11.3547582,46.4982953
461,"OSGeo/proj.4","drhaynes","UK","(55.378051, -3.435973)",-3.435973,55.378051
465,"OSGeo/proj.4","luqqe","Poland","(51.919438, 19.145136)",19.145136,51.919438
467,"OSGeo/proj.4","mwtoews","Wellington, New Zealand","(-41.2864603, 174.776236)",174.776236,-41.2864603
468,"OSGeo/proj.4","lukecampbell","South Kingstown, RI","(41.4475686, -71.524667)",-71.524667,41.4475686
470,"OSGeo/proj.4","aaronpuchert","Jena, Germany","(50.927054, 11.5892372)",11.5892372,50.927054
471,"OSGeo/proj.4","micahcochran","Athens, Alabama, USA","(34.8028661, -86.9716741)",-86.9716741,34.8028661
472,"OSGeo/proj.4","awulkiew","Poland","(51.919438, 19.145136)",19.145136,51.919438
476,"deegree/deegree3","aerben","Köln","(50.937531, 6.9602786)",6.9602786,50.937531
483,"deegree/deegree3","hwbllmnn","Windeck, Germany","(50.7880324, 7.5655319)",7.565531900000001,50.7880324
484,"deegree/deegree3","versusvoid","Krasnodar","(45.0392674, 38.9872209)",38.9872209,45.03926740000001
487,"deegree/deegree3","jarped","Norway","(60.472024, 8.468946)",8.468945999999999,60.47202399999999
488,"deegree/deegree3","paul999","Utrecht, Netherlands","(52.0907374, 5.1214201)",5.1214201,52.09073739999999
490,"deegree/deegree3","tfr42","Cologne, Germany","(50.937531, 6.9602786)",6.9602786,50.937531
491,"deegree/deegree3","MrSnyder","Bonn","(50.73743, 7.0982068)",7.0982068,50.73743
493,"deegree/deegree3","wanhoff","Germany","(51.165691, 10.451526)",10.451526,51.165691
494,"deegree/deegree3","wilden","Bonn, Germany","(50.73743, 7.0982068)",7.0982068,50.73743
496,"geomajas/geomajas-project-client-gwt2","joachimvda","Booischot, Belgium","(51.05151, 4.77523)",4.77523,51.05151
497,"geomajas/geomajas-project-client-gwt2","olivermay","Ghent, Belgium","(51.0543422, 3.7174243)",3.7174243,51.0543422
498,"geomajas/geomajas-project-client-gwt2","redlab","Gent, Belgium","(51.0543422, 3.7174243)",3.7174243,51.0543422
501,"geomajas/geomajas-project-client-gwt2","pieterdg","Gent","(51.0543422, 3.7174243)",3.7174243,51.0543422
504,"geomajas/geomajas-project-client-gwt2","hkristof","Gent","(51.0543422, 3.7174243)",3.7174243,51.0543422
517,"geonetwork/core-geonetwork","heikkidoeleman","Nice, France","(43.7101728, 7.2619532)",7.261953200000001,43.7101728
519,"geonetwork/core-geonetwork","austinkeeley","Fairfax, VA","(38.8462236, -77.3063733)",-77.30637329999999,38.84622359999999
523,"geonetwork/core-geonetwork","PascalLike","Netherlands","(52.132633, 5.291266)",5.291265999999999,52.132633
524,"geonetwork/core-geonetwork","kolesar-andras","Hungary","(47.162494, 19.5033041)",19.5033041,47.162494
526,"geonetwork/core-geonetwork","matthias-mueller","Dresden, Germany","(51.0504088, 13.7372621)",13.7372621,51.0504088
527,"geonetwork/core-geonetwork","oscarfonts","Barcelona","(41.3850639, 2.1734035)",2.1734035,41.3850639
528,"geonetwork/core-geonetwork","doublebyte1","Italy","(41.87194, 12.56738)",12.56738,41.87194
529,"geonetwork/core-geonetwork","MichelGabriel","Bennekom","(51.9991039, 5.6747544)",5.674754399999999,51.99910389999999
530,"geonetwork/core-geonetwork","offtherailz","Viareggio (LU)","(43.8657267, 10.2513103)",10.2513103,43.8657267
531,"geonetwork/core-geonetwork","stormtek","Dunedin, New Zealand","(-45.8787605, 170.5027976)",170.5027976,-45.8787605
533,"geonetwork/core-geonetwork","fgravin","Chambéry","(45.564601, 5.917781)",5.917781,45.564601
535,"geonetwork/core-geonetwork","luisromangz","Seville, Spain","(37.3890924, -5.9844589)",-5.9844589,37.3890924
537,"geonetwork/core-geonetwork","tchaddad","Portland, OR","(45.5230622, -122.6764815)",-122.6764815,45.5230622
540,"geonetwork/core-geonetwork","Delawen","Seville","(37.3890924, -5.9844589)",-5.9844589,37.3890924
541,"geonetwork/core-geonetwork","pgiraud","Chambéry","(45.564601, 5.917781)",5.917781,45.564601
542,"geonetwork/core-geonetwork","alediator","Sevilla, Spain","(37.3890924, -5.9844589)",-5.9844589,37.3890924
544,"geonetwork/core-geonetwork","Damianofds","Italy","(41.87194, 12.56738)",12.56738,41.87194
545,"geonetwork/core-geonetwork","pvalsecc","Switzerland","(46.818188, 8.227512)",8.227511999999999,46.818188
546,"geonetwork/core-geonetwork","brett-walker","Hobart, Tasmania","(-42.8821377, 147.3271949)",147.3271949,-42.8821377
548,"geonetwork/core-geonetwork","ianturton","UK","(55.378051, -3.435973)",-3.435973,55.378051
549,"geonetwork/core-geonetwork","pvgenuchten","Wageningen","(51.9691868, 5.6653948)",5.6653948,51.9691868
550,"geonetwork/core-geonetwork","Cicuta33","Apeldoorn","(52.211157, 5.9699231)",5.9699231,52.21115700000001
552,"geonetwork/core-geonetwork","tonio","Chambéry, France","(45.564601, 5.917781)",5.917781,45.564601
553,"geonetwork/core-geonetwork","juanluisrp","Sevilla","(37.3890924, -5.9844589)",-5.9844589,37.3890924
554,"geonetwork/core-geonetwork","mlefort","Toulouse","(43.604652, 1.444209)",1.444209,43.604652
558,"geonetwork/core-geonetwork","jeanpommier","France","(46.227638, 2.213749)",2.213749,46.227638
559,"geonetwork/core-geonetwork","mcoudert","Toulouse","(43.604652, 1.444209)",1.444209,43.604652
560,"geonetwork/core-geonetwork","pmauduit","Chambéry, France","(45.564601, 5.917781)",5.917781,45.564601
561,"geonetwork/core-geonetwork","landryb","Auvergne","(45.7032695, 3.3448536)",3.3448536,45.7032695
562,"geonetwork/core-geonetwork","jahow","Chambéry, France","(45.564601, 5.917781)",5.917781,45.564601
563,"geonetwork/core-geonetwork","archaeogeek","UK","(55.378051, -3.435973)",-3.435973,55.378051
570,"geonetwork/core-geonetwork","ticheler","Bennekom, The Netherlands","(51.9991039, 5.6747544)",5.674754399999999,51.99910389999999
571,"geonetwork/core-geonetwork","gmlewis","Mountain View, CA","(37.3860517, -122.0838511)",-122.0838511,37.3860517
572,"geonetwork/core-geonetwork","arnaud-morvan","Chambéry","(45.564601, 5.917781)",5.917781,45.564601
576,"geopython/pycsw","jfdickens","Stennis Space Center","(30.3619837, -89.5994225)",-89.5994225,30.3619837
577,"geopython/pycsw","sarametz","Auckland, New Zealand","(-36.8484597, 174.7633315)",174.7633315,-36.8484597
579,"geopython/pycsw","jiwalker-usgs","Middleton, WI","(43.0972174, -89.5042876)",-89.5042876,43.09721740000001
580,"geopython/pycsw","kwilcox","Rhode Island","(41.5800945, -71.4774291)",-71.4774291,41.5800945
582,"geopython/pycsw","ahinz","Boston","(42.3600825, -71.0588801)",-71.0588801,42.3600825
583,"geopython/pycsw","bukun","Changchun, China","(43.817071, 125.323544)",125.323544,43.817071
587,"geopython/pycsw","sriranganathan","Tiruchirappalli","(10.7904833, 78.7046725)",78.7046725,10.7904833
590,"geopython/pycsw","milokmet","Banská Bystrica, Slovakia","(48.736277, 19.1461917)",19.1461917,48.736277
595,"geopython/pycsw","AxxL","Germany","(51.165691, 10.451526)",10.451526,51.165691
596,"geopython/pycsw","amercader","Newcastle upon Tyne, UK | The Internet","(54.9741542, -1.6334076)",-1.6334076,54.9741542
602,"geopython/pycsw","ocefpaf","Florianópolis, SC","(-27.5948698, -48.5482195)",-48.54821949999999,-27.5948698
604,"geoserver/geoserver","mwerlen","France","(46.227638, 2.213749)",2.213749,46.227638
605,"geoserver/geoserver","marcjansen","Bonn, Germany","(50.73743, 7.0982068)",7.0982068,50.73743
609,"geoserver/geoserver","lindsejs","Riga, Latvia","(56.9496487, 24.1051865)",24.1051865,56.9496487
612,"geoserver/geoserver","ivanfmartinez","São Paulo, SP, Brazil","(-23.5505199, -46.6333094)",-46.63330939999999,-23.5505199
613,"geoserver/geoserver","markusin","Bozen","(46.4982953, 11.3547582)",11.3547582,46.4982953
624,"geoserver/geoserver","jmarin","Washington DC","(38.9071923, -77.0368707)",-77.0368707,38.9071923
629,"geoserver/geoserver","fgdrf","Hamburg, Germany","(53.5510846, 9.9936819)",9.9936819,53.5510846
638,"geoserver/geoserver","shane-axiom","Portland, OR","(45.5230622, -122.6764815)",-122.6764815,45.5230622
639,"geoserver/geoserver","PaulBiskup","Stuttgart (Germany)","(48.7758459, 9.1829321)",9.1829321,48.7758459
644,"geoserver/geoserver","fvanderbiest","Chambéry, France","(45.564601, 5.917781)",5.917781,45.564601
647,"geoserver/geoserver","iant1212","Lancaster, PA USA","(40.0378755, -76.3055144)",-76.3055144,40.0378755
649,"geoserver/geoserver","johngschulz","Saint Louis, MO, United States","(38.6270025, -90.1994042)",-90.19940419999999,38.6270025
654,"geoserver/geoserver","am2222","Iran","(32.427908, 53.688046)",53.688046,32.427908
655,"geoserver/geoserver","steenhulthin","Copenhagen, Denmark","(55.6760968, 12.5683372)",12.5683372,55.6760968
661,"geoserver/geoserver","mfilocha","Warsaw, Poland","(52.2296756, 21.0122287)",21.0122287,52.2296756
663,"geoserver/geoserver","ccancellieri","Rome","(41.9027835, 12.4963655)",12.4963655,41.9027835
666,"geoserver/geoserver","xandros6","Italy","(41.87194, 12.56738)",12.56738,41.87194
667,"geoserver/geoserver","jia020","Sydney ","(-33.8688197, 151.2092955)",151.2092955,-33.8688197
668,"geoserver/geoserver","walkermatt","UK","(55.378051, -3.435973)",-3.435973,55.378051
669,"geoserver/geoserver","ahuarte47","Pamplona/Iruña - Navarra","(42.812526, -1.6457745)",-1.6457745,42.812526
671,"geoserver/geoserver","WillieMaddox","United States","(37.09024, -95.712891)",-95.712891,37.09024
676,"geoserver/geoserver","braeckel","Boulder, CO","(40.0149856, -105.2705456)",-105.2705456,40.0149856
679,"geoserver/geoserver","milovanderlinden","Vught, The Netherlands","(51.653306, 5.2943466)",5.2943466,51.653306
681,"geoserver/geoserver","1tylermitchell","Penticton, BC, Canada","(49.4991381, -119.5937077)",-119.5937077,49.4991381
684,"geoserver/geoserver","goudine","Victoria, BC","(48.4284207, -123.3656444)",-123.3656444,48.4284207
685,"geoserver/geoserver","tingold","Maryland, US","(39.0457549, -76.6412712)",-76.64127119999999,39.0457549
688,"geoserver/geoserver","mtCarto","Victoria, B.C.","(48.4284207, -123.3656444)",-123.3656444,48.4284207
689,"geoserver/geoserver","sampov2","Helsinki, Finland","(60.1698557, 24.9383791)",24.9383791,60.16985569999999
691,"geoserver/geoserver","gberaudo","Switzerland","(46.818188, 8.227512)",8.227511999999999,46.818188
702,"geoserver/geoserver","jdries","Belgium","(50.503887, 4.469936)",4.469936,50.503887
706,"geoserver/geoserver","qscripter","Washington DC","(38.9071923, -77.0368707)",-77.0368707,38.9071923
707,"geoserver/geoserver","jrbeckwith","St Louis, MO","(38.6270025, -90.1994042)",-90.19940419999999,38.6270025
710,"geoserver/geoserver","Gnafu","Italy","(41.87194, 12.56738)",12.56738,41.87194
711,"geoserver/geoserver","leighghunt","Whitby, Porirua, Wellington","(-41.1115582, 174.8889124)",174.8889124,-41.1115582
717,"geoserver/geoserver","eduardogspereira","Brazil","(-14.235004, -51.92528)",-51.92528,-14.235004
718,"geoserver/geoserver","jsanz","Valencia, Spain","(39.4699075, -0.3762881)",-0.3762881,39.4699075
719,"geoserver/geoserver","juhahyva","Oulu, Finland","(65.0120888, 25.4650772)",25.4650772,65.0120888
720,"geoserver/geoserver","DenisCarriere","Ottawa, ON Canada","(45.4215296, -75.6971931)",-75.69719309999999,45.4215296
722,"geoserver/geoserver","cgore","Saint Charles, Missouri, USA","(38.7881062, -90.4974359)",-90.4974359,38.7881062
724,"geoserver/geoserver","omarkljung","Stockholm","(59.3293235, 18.0685808)",18.0685808,59.32932349999999
725,"geoserver/geoserver","dakcarto","Black Hills, South Dakota","(43.9939484, -103.7717686)",-103.7717686,43.9939484
728,"geoserver/geoserver","mprins","Earth (mostly)","(6.6097836, 3.3564509)",3.3564509,6.6097836
729,"geoserver/geoserver","hanchao","Beijing China","(39.9041999, 116.4073963)",116.4073963,39.90419989999999
732,"geoserver/geoserver","jmiller-boundless","United States","(37.09024, -95.712891)",-95.712891,37.09024
735,"geoserver/geoserver","spike83","Switzerland","(46.818188, 8.227512)",8.227511999999999,46.818188
737,"geoserver/geoserver","alex3305","Tilburg, Netherlands","(51.5852528, 5.056375)",5.056375,51.58525280000001
740,"geoserver/geoserver","mike-es","San Diego, CA","(32.715738, -117.1610838)",-117.1610838,32.715738
741,"geoserver/geoserver","svzdvd","Dublin (Ireland)","(53.3498053, -6.2603097)",-6.2603097,53.3498053
743,"geoserver/geoserver","nitram509","GERMANY","(51.165691, 10.451526)",10.451526,51.165691
744,"geoserver/geoserver","totomz","Roma, Italy","(41.9027835, 12.4963655)",12.4963655,41.9027835
746,"geoserver/geoserver","tvernum","Sydney, Australia","(-33.8688197, 151.2092955)",151.2092955,-33.8688197
747,"geoserver/geoserver","nmandery","Munich, Germany","(48.1351253, 11.5819805)",11.5819805,48.1351253
748,"geoserver/geoserver","geojs","France","(46.227638, 2.213749)",2.213749,46.227638
753,"geoserver/geoserver","moesol","San Diego","(32.715738, -117.1610838)",-117.1610838,32.715738
754,"geoserver/geoserver","etiennethomassen","Hunsel, Nederland","(51.1881543, 5.8131944)",5.8131944,51.1881543
755,"geoserver/geoserver","srstclair","portland, or","(45.5230622, -122.6764815)",-122.6764815,45.5230622
758,"geoserver/geoserver","GeoffWilliams","Sydney, Australia","(-33.8688197, 151.2092955)",151.2092955,-33.8688197
759,"geoserver/geoserver","weskamm","Bonn, Germany","(50.73743, 7.0982068)",7.0982068,50.73743
761,"geoserver/geoserver","cippino","Rome","(41.9027835, 12.4963655)",12.4963655,41.9027835
762,"geoserver/geoserver","hennr","Berlin, Germany","(52.5200066, 13.404954)",13.404954,52.52000659999999
763,"geoserver/geoserver","suhaibtamimi","Montreal, QC, Canada","(45.5016889, -73.567256)",-73.567256,45.5016889
765,"geoserver/geoserver","kolosov-sergey","Russia","(61.52401, 105.318756)",105.318756,61.52401
767,"geoserver/geoserver","emacgillavry","Utrecht, the Netherlands","(52.0907374, 5.1214201)",5.1214201,52.09073739999999
771,"geoserver/geoserver","jnewmoyer","United States","(37.09024, -95.712891)",-95.712891,37.09024
773,"geoserver/geoserver","ridethepenguin","Reggio Emilia","(44.6989932, 10.6296859)",10.6296859,44.6989932
777,"geotools/geotools","leif81","Kingston, Ontario, Canada","(44.2311717, -76.4859544)",-76.4859544,44.2311717
779,"geotools/geotools","don-vip","Toulouse, France","(43.604652, 1.444209)",1.444209,43.604652
782,"geotools/geotools","guidograzioli","London,UK","(51.5073509, -0.1277583)",-0.1277583,51.5073509
784,"geotools/geotools","wulfsberg","Copenhagen, Denmark","(55.6760968, 12.5683372)",12.5683372,55.6760968
790,"geotools/geotools","sgraca","Gliwice","(50.2944923, 18.6713802)",18.6713802,50.29449229999999
800,"geotools/geotools","lossyrob","Philadelphia, PA","(39.9525839, -75.1652215)",-75.1652215,39.9525839
804,"geotools/geotools","astinn02","Sausalito","(37.8590937, -122.4852507)",-122.4852507,37.8590937
808,"geotools/geotools","DieterDePaepe","Belgium","(50.503887, 4.469936)",4.469936,50.503887
810,"geotools/geotools","tomasma5","Prague","(50.0755381, 14.4378005)",14.4378005,50.0755381
812,"geotools/geotools","alexandreDavid","Lyon","(45.764043, 4.835659)",4.835659,45.764043
814,"geotools/geotools","mbedward","Sydney, Australia","(-33.8688197, 151.2092955)",151.2092955,-33.8688197
819,"geotools/geotools","rhayes-cida","Middleton, WI","(43.0972174, -89.5042876)",-89.5042876,43.09721740000001
823,"geotools/geotools","abobov","Tyumen, Russia","(57.1612975, 65.5250172)",65.5250172,57.1612975
833,"geotools/geotools","felixonmars","Wuhan, Hubei, China","(30.592849, 114.305539)",114.305539,30.592849
837,"geotools/geotools","PissedCapslock","Belgium","(50.503887, 4.469936)",4.469936,50.503887
843,"geotools/geotools","gregsymons","Austin, TX","(30.267153, -97.7430608)",-97.7430608,30.267153
846,"geotools/geotools","cne1x","Charlottesville, VA","(38.0293059, -78.4766781)",-78.47667810000002,38.0293059
851,"geotools/geotools","nicolaiparlog","Germany","(51.165691, 10.451526)",10.451526,51.165691
852,"geotools/geotools","guymers","Australia","(-25.274398, 133.775136)",133.775136,-25.274398
853,"geotools/geotools","newmanw","Denver, CO","(39.7392358, -104.990251)",-104.990251,39.7392358
857,"geotools/geotools","brunodoamaral","Rio de Janeiro, Brazil","(-22.9068467, -43.1728965)",-43.1728965,-22.9068467
861,"geotools/geotools","wumpz","Germany","(51.165691, 10.451526)",10.451526,51.165691
864,"geotools/geotools","sosimple","Lisbon","(38.7222524, -9.1393366)",-9.1393366,38.7222524
865,"geotools/geotools","markles","Sydney Australia","(-33.8688197, 151.2092955)",151.2092955,-33.8688197
867,"geotools/geotools","CozC","Bucharest, Romania","(44.4267674, 26.1025384)",26.1025384,44.4267674
875,"geotools/geotools","davidmoten","Canberra, Australia","(-35.2809368, 149.1300092)",149.1300092,-35.2809368
879,"geotools/geotools","chaosmail","Vienna, Austria","(48.2081743, 16.3738189)",16.3738189,48.2081743
880,"geotools/geotools","bestrauss","Florianópolis, Brasil","(-27.5948698, -48.5482195)",-48.54821949999999,-27.5948698
883,"geotools/geotools","Dortund","Nederland","(39.9613759, -105.5108312)",-105.5108312,39.9613759
884,"geotools/geotools","lmoran","Melbourne, Australia","(-37.8136276, 144.9630576)",144.9630576,-37.8136276
886,"geotools/geotools","eduardomps","São José dos Campos","(-23.223701, -45.9009074)",-45.9009074,-23.223701
889,"geotools/geotools","wmstoval","Atlanta, Georgia","(33.7489954, -84.3879824)",-84.3879824,33.7489954
891,"geotools/geotools","jkburges","Hobart","(41.5322592, -87.2550353)",-87.2550353,41.5322592
894,"geotools/geotools","marpet","Geesthacht","(53.4379562, 10.3611665)",10.3611665,53.4379562
895,"geotools/geotools","hgryoo","Busan, South Korea","(35.1795543, 129.0756416)",129.0756416,35.1795543
913,"geotools/geotools","bernardladenthin","Berlin, Germany","(52.5200066, 13.404954)",13.404954,52.52000659999999
918,"geotools/geotools","HendrikPeilke","Germany","(51.165691, 10.451526)",10.451526,51.165691
925,"geotools/geotools","bkiselka","Mödling","(48.08255, 16.2869)",16.2869,48.08255
933,"gvSIGAssociation/gvsig-mobile","jjdelcerro","Valencia, España","(39.4699075, -0.3762881)",-0.3762881,39.4699075
936,"gvSIGAssociation/gvsig-web","pilarargudo","Valencia","(28.5212941, -81.4657554)",-81.46575539999999,28.5212941
938,"gvSIGAssociation/gvsig-web","dcervera","Valencia, Spain","(39.4699075, -0.3762881)",-0.3762881,39.4699075
939,"gvSIGAssociation/gvsig-web","cordin","Valencia","(28.5212941, -81.4657554)",-81.46575539999999,28.5212941
943,"istSOS/istsos2","mantonovic","Lugano","(46.0036778, 8.951052)",8.951051999999999,46.0036778
946,"mapbender/mapbender","topiwg","Bonn","(50.73743, 7.0982068)",7.0982068,50.73743
947,"mapbender/mapbender","Vaddo","Germany","(51.165691, 10.451526)",10.451526,51.165691
949,"mapbender/mapbender","patrice-geo","Quebec, Canada","(46.8138783, -71.2079809)",-71.2079809,46.8138783
950,"mapbender/mapbender","mariofertc","Ambato","(-1.2543408, -78.6228504)",-78.62285039999999,-1.2543408
957,"mapbender/mapbender","marmancs","Remscheid","(51.1787418, 7.1896963)",7.1896963,51.1787418
962,"mapfish/mapfish","asaunier","Lausanne Switzerland","(46.5196535, 6.6322734)",6.6322734,46.5196535
963,"mapfish/mapfish","fredj","Switzerland","(46.818188, 8.227512)",8.227511999999999,46.818188
965,"mapfish/mapfish","damiencorpataux","Lausanne, Switzerland","(46.5196535, 6.6322734)",6.6322734,46.5196535
970,"mapserver/mapserver","pagameba","Ottawa, ON, Canada","(45.4215296, -75.6971931)",-75.69719309999999,45.4215296
971,"mapserver/mapserver","yjacolin","Le Bourget du Lac","(45.649392, 5.859076)",5.859076,45.649392
972,"mapserver/mapserver","nijikon","Cracow, Poland","(50.0646501, 19.9449799)",19.9449799,50.06465009999999
974,"mapserver/mapserver","dshorthouse","Ottawa, ON","(45.4215296, -75.6971931)",-75.69719309999999,45.4215296
980,"mapserver/mapserver","olt","Germany","(51.165691, 10.451526)",10.451526,51.165691
981,"mapserver/mapserver","unicolet","Vicenza, Italy","(45.5454787, 11.5354214)",11.5354214,45.5454787
982,"mapserver/mapserver","MaxKellermann","Germany, Bergisch Gladbach","(50.9923091, 7.1286213)",7.1286213,50.9923091
984,"mapserver/mapserver","seuros","Tangier, Morocco","(35.7594651, -5.8339543)",-5.833954299999999,35.7594651
985,"mapserver/mapserver","markathomas","USA","(37.09024, -95.712891)",-95.712891,37.09024
987,"mapserver/mapserver","Jenselme","Paris, France","(48.856614, 2.3522219)",2.3522219,48.856614
990,"mapserver/mapserver","wraeth","Newcastle, Australia","(-32.9282712, 151.7816802)",151.7816802,-32.9282712
992,"mapserver/mapserver","akrherz","Ames Iowa","(42.0307812, -93.6319131)",-93.63191309999999,42.0307812
994,"mapserver/mapserver","msmitherdc","Hanover, NH","(43.7022451, -72.2895526)",-72.2895526,43.7022451
997,"mapserver/mapserver","geonux","Toulouse","(43.604652, 1.444209)",1.444209,43.604652
1001,"mapserver/mapserver","astroidex","Cologne","(44.7688889, -93.7805556)",-93.7805556,44.7688889
1004,"mapserver/mapserver","tigerfoot","Charmoille, Switzerland","(47.4230647, 7.2039915)",7.2039915,47.4230647
1005,"mapserver/mapserver","homme","Isle of Wight, UK","(50.6938479, -1.304734)",-1.304734,50.69384789999999
1008,"mapserver/mapserver","sbrunner","Lausanne","(46.5196535, 6.6322734)",6.6322734,46.5196535
1010,"mapserver/mapserver","sgillies","Fort Collins, Colorado","(40.5852602, -105.084423)",-105.084423,40.5852602
1011,"mapserver/mapserver","jlarouche","Chicoutimi, QC, CA","(48.3516735, -71.1385136)",-71.1385136,48.3516735
1018,"mapserver/mapserver","jmckenna","Lunenburg, Nova Scotia, Canada","(44.3770053, -64.3188354)",-64.3188354,44.3770053
1019,"mapserver/mapserver","Schpidi","Vienna, Austria","(48.2081743, 16.3738189)",16.3738189,48.2081743
1020,"mapserver/mapserver","constantinius","Vienna","(48.2081743, 16.3738189)",16.3738189,48.2081743
1023,"mapserver/mapserver","fblackburn","Saguenay, Qc, Canada","(48.4280529, -71.0684923)",-71.0684923,48.4280529
1031,"mapserver/mapserver","WearyMonkey","Australia","(-25.274398, 133.775136)",133.775136,-25.274398
1032,"mapserver/mapserver","sdlime","Minnesota, USA","(46.729553, -94.6858998)",-94.6858998,46.729553
1034,"mapserver/mapserver","jwall","Stockholm, Sweden","(59.3293235, 18.0685808)",18.0685808,59.32932349999999
1037,"mapserver/mapserver","edigiacomo","Bologna, Italy","(44.494887, 11.3426162)",11.3426162,44.494887
1038,"mapserver/mapserver","tbonfort","Toulouse, FR","(43.604652, 1.444209)",1.444209,43.604652
1040,"mapserver/mapserver","zidge","Ottawa, Canada","(45.4215296, -75.6971931)",-75.69719309999999,45.4215296
